City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,katsuren-haebaru,26.3369,127.8719,300.58,64,75,4.63,JP,1697332092
83,saint-philippe,-21.3585,55.7679,293.92,81,43,4.36,RE,1697332092
84,abomsa,9.9833,39.9833,293.93,50,4,2.23,ET,1697332093
85,priob'ye,62.5206,65.5964,274.79,91,66,4.0,RU,1697332093
86,saldanha,-33.0117,17.9442,289.53,72,100,5.17,ZA,1697332093
87,mount isa,-20.7333,139.5,305.02,9,3,5.66,AU,1697331838
88,uturoa,-16.7333,-151.4333,299.35,69,7,4.36,PF,1697332093
89,jatiroto,-7.8833,111.1167,301.77,57,20,2.33,ID,1697332093
90,porto real,-22.4197,-44.2903,291.62,95,100,0.87,BR,1697332093
91,bilibino,68.0546,166.4372,265.9,94,98,0.43,RU,1697332093
92,semnan,35.5729,53.3971,288.33,56,0,1.51,IR,1697332094
93,mejit,10.2753,170.8646,301.22,76,26,4.24,MH,1697332094
94,isafjordur,66.0755,-23.124,275.96,95,100,4.09,IS,1697332094
95,horsham,51.064,-0.3272,280.38,84,0,2.57,GB,1697331829
96,kosh-agach,50.0,88.6667,278.32,72,100,1.79,RU,1697331804
97,namdrik,5.5994,168.1028,301.92,71,48,3.49,MH,1697332094
98,batie,9.8833,-2.9167,298.18,78,90,1.74,BF,1697332094
99,carnarvon,-24.8667,113.6333,303.45,30,0,5.02,AU,1697332094
100,longyearbyen,78.2186,15.6401,273.06,80,75,4.63,SJ,1697332095
101,hamilton,39.1834,-84.5333,284.69,91,100,6.69,US,1697332091
102,thompson,55.7435,-97.8558,280.24,87,20,1.54,CA,1697331911
103,whitehorse,60.7161,-135.0538,283.88,63,99,8.05,CA,1697332095
104,noosa heads,-26.3833,153.15,303.89,60,0,5.45,AU,1697332095
105,luderitz,-26.6481,15.1594,286.17,96,15,1.55,NA,1697332095
106,puerto carreno,6.189,-67.4859,299.65,83,100,2.29,CO,1697332096
107,pitimbu,-7.4706,-34.8086,299.48,72,100,5.1,BR,1697332096
108,korla,41.7597,86.1469,287.74,31,8,2.14,CN,1697332096
109,vilyuchinsk,52.9306,158.4028,282.3,89,100,2.57,RU,1697331865
110,anadyr,64.75,177.4833,275.43,80,75,4.0,RU,1697332096
111,hotan,37.0997,79.9269,286.23,31,100,1.42,CN,1697332096
112,queenstown,-31.8976,26.8753,280.25,93,97,1.48,ZA,1697332096
113,halifax,44.6453,-63.5724,285.64,79,7,5.14,CA,1697331976
114,alice springs,-23.7,133.8833,298.9,12,0,5.14,AU,1697332097
115,las khorey,11.1595,48.1967,301.35,78,0,2.93,SO,1697332097
116,juneau,58.3019,-134.4197,285.15,91,75,4.12,US,1697332016
117,vieux fort,13.7167,-60.95,300.77,78,40,4.12,LC,1697332097
118,hohhot,40.8106,111.6522,285.6,33,7,2.96,CN,1697332097
119,suva,-18.1416,178.4415,299.86,78,75,5.66,FJ,1697331960
120,karratha,-20.7377,116.8463,307.39,19,2,8.3,AU,1697331989
121,tidjikja,18.5564,-11.4271,302.2,16,0,5.25,MR,1697332097
122,cabedelo,-6.9811,-34.8339,299.52,70,100,5.15,BR,1697332098
123,goure,13.9835,10.2704,302.89,22,100,4.11,NE,1697332098
124,acarau,-2.8856,-40.12,299.4,80,52,8.52,BR,1697332098
125,ballina,-28.8667,153.5667,302.47,47,0,2.92,AU,1697332098
126,bardai,11.65,7.2333,296.03,35,13,0.6,NG,1697332098
127,naze,28.3667,129.4833,296.66,58,49,7.65,JP,1697331900
128,buenaventura,3.8801,-77.0312,297.26,96,100,0.37,CO,1697332098
129,weno,7.4515,151.8468,299.91,80,100,3.61,FM,1697332099
130,semporna,4.4818,118.6112,302.37,71,100,3.83,MY,1697332096
131,qaqortoq,60.7167,-46.0333,276.85,66,12,1.5,GL,1697332099
132,north bend,43.4065,-124.2243,289.18,88,100,0.0,US,1697332099
133,sint michiel liber,12.15,-68.9833,303.05,79,20,4.12,CW,1697332099
134,puerto baquerizo moreno,-0.9,-89.6,296.81,84,89,4.92,EC,1697332099
135,shar'ya,58.3686,45.5144,282.03,70,100,3.58,RU,1697332099
136,nova sintra,14.8667,-24.7167,298.61,79,100,3.92,CV,1697332099
137,mrakovo,52.7161,56.6244,277.67,84,100,2.28,RU,1697332100
138,al mutayrifi,25.4788,49.5576,296.34,40,0,1.76,SA,1697332100
139,remire-montjoly,4.9167,-52.2667,300.17,83,0,2.57,GF,1697332100
140,broome,42.2506,-75.833,281.87,97,100,0.45,US,1697332100
141,marica,-22.9194,-42.8186,294.1,90,100,5.12,BR,1697332100
142,afaahiti,-17.75,-149.2833,301.08,79,23,3.59,PF,1697332100
143,jamestown,42.097,-79.2353,280.94,97,100,4.12,US,1697332053
144,lyantor,61.6195,72.1555,276.35,87,95,5.17,RU,1697332101
145,udachny,66.4167,112.4,264.51,85,9,1.47,RU,1697332101
146,st. john's,47.5649,-52.7093,285.46,98,75,5.14,CA,1697331930
147,lata,40.1629,-8.3327,289.77,94,100,1.13,PT,1697332101
148,isangel,-19.55,169.2667,302.21,70,75,1.54,VU,1697332101
149,souillac,-20.5167,57.5167,294.05,74,62,4.25,MU,1697332101
150,porto belo,-27.1578,-48.5531,292.12,77,100,4.78,BR,1697332101
151,goroka,-6.0834,145.3873,295.25,76,84,0.96,PG,1697332102
152,santana,-0.0583,-51.1817,302.25,74,40,6.69,BR,1697332102
153,acajutla,13.5928,-89.8275,300.49,83,15,1.3,SV,1697332102
154,lihue,21.9789,-159.3672,301.73,69,0,7.2,US,1697332102
155,galle,6.0367,80.217,298.54,86,100,2.16,LK,1697332102
156,urucara,-2.5364,-57.76,301.48,54,100,0.51,BR,1697332102
157,howrah,22.5892,88.3103,300.15,83,20,0.0,IN,1697332103
158,okakarara,-20.5833,17.4333,293.11,18,100,4.6,NA,1697332103
159,hermanus,-34.4187,19.2345,288.52,77,100,7.94,ZA,1697331917
160,dubbo,-32.25,148.6167,295.22,35,7,3.6,AU,1697332061
161,chipinge,-20.1883,32.6236,291.21,91,100,2.07,ZW,1697332103
162,tranas,58.0372,14.9782,280.59,75,24,6.87,SE,1697332103
163,bredasdorp,-34.5322,20.0403,287.3,79,73,5.85,ZA,1697332103
164,badger,64.8,-147.5333,275.27,80,20,3.09,US,1697332103
165,port elizabeth,-33.918,25.5701,286.1,96,100,0.99,ZA,1697332104
166,hirara,24.8,125.2833,298.98,65,96,6.74,JP,1697332104
167,qamdo,31.1667,97.2333,273.6,54,100,1.1,CN,1697331920
168,lebu,-37.6167,-73.65,282.97,79,15,7.93,CL,1697332104
169,imbituba,-28.24,-48.6703,292.54,82,100,4.89,BR,1697332104
170,nurota,40.5614,65.6886,280.47,46,0,3.43,UZ,1697332104
171,port hedland,-20.3167,118.5667,309.18,11,0,7.72,AU,1697332104
172,chazuta,-6.5742,-76.1367,300.62,99,99,1.46,PE,1697332104
173,tsiombe,-25.3,45.4833,294.76,89,8,1.77,MG,1697332105
174,chonchi,-42.6128,-73.8092,281.55,95,38,1.48,CL,1697332105
175,lhasa,29.65,91.1,279.73,59,0,0.97,CN,1697332105
176,guiyang,26.5833,106.7167,289.48,74,8,1.26,CN,1697332105
177,soma,39.1855,27.6094,288.17,68,48,0.48,TR,1697332105
178,dudinka,69.4058,86.1778,274.64,93,100,6.71,RU,1697332105
179,keelakarai,9.2333,78.7833,300.06,77,100,2.79,IN,1697332105
180,moanda,-1.5575,13.2178,292.95,98,87,0.74,GA,1697332106
181,papatowai,-46.5619,169.4708,284.97,57,100,6.94,NZ,1697332106
182,harburg,53.4667,9.9833,280.16,93,75,4.63,DE,1697332106
183,kerikeri,-35.2268,173.9474,295.88,67,44,0.89,NZ,1697332106
184,baijiantan,45.6333,85.1833,283.57,37,67,10.07,CN,1697332106
185,sinabang,2.4803,96.3801,299.15,83,100,1.19,ID,1697332106
186,atafu village,-8.5421,-172.5159,301.73,76,61,9.05,TK,1697332106
187,puerto ayora,-0.7393,-90.3518,297.34,92,41,2.24,EC,1697332106
188,constantia,44.1833,28.65,286.53,85,0,4.88,RO,1697332107
189,tarawa,1.419,172.984,302.27,69,100,3.18,KI,1697332107
190,richards bay,-28.783,32.0377,290.93,66,69,6.5,ZA,1697332107
191,chone,-0.6833,-80.1,297.79,84,94,1.7,EC,1697332107
192,nouadhibou,20.931,-17.0347,300.14,69,4,6.17,MR,1697332107
193,west island,-12.1568,96.8225,299.14,78,40,6.69,CC,1697332107
194,sao joao da barra,-21.6403,-41.0511,294.8,89,100,3.48,BR,1697332107
195,ostrov,57.3439,28.3537,282.74,78,61,6.86,RU,1697332108
196,hengchun,22.0042,120.7439,299.63,76,23,6.67,TW,1697332108
197,khairagarh,26.95,77.8167,299.06,39,4,1.73,IN,1697332108
198,tagiura,32.8817,13.3506,295.86,65,0,1.06,LY,1697332108
199,okha,53.5739,142.9478,281.54,77,82,9.59,RU,1697332108
200,dunedin,-45.8742,170.5036,286.37,56,82,2.68,NZ,1697331891
201,coronel suarez,-37.4547,-61.9334,289.22,32,100,6.4,AR,1697332108
202,fort mcmurray,56.7268,-111.381,284.28,47,14,4.47,CA,1697332109
203,horta,38.5333,-28.6333,294.83,93,100,6.71,PT,1697332109
204,robertsport,6.7533,-11.3686,298.88,86,100,2.75,LR,1697332109
205,heroica matamoros,25.8833,-97.5,297.1,62,0,4.63,MX,1697332063
206,baise city,23.8997,106.6133,295.56,99,0,1.44,CN,1697332109
207,zhangatas,43.5667,69.75,278.26,45,30,3.08,KZ,1697332109
208,kuching,1.55,110.3333,302.11,86,20,2.24,MY,1697332109
209,ambovombe,-25.1667,46.0833,295.33,86,37,2.12,MG,1697332110
210,napili-honokowai,20.9708,-156.6705,301.79,80,12,3.79,US,1697332110
211,saint-georges,12.0564,-61.7485,301.46,80,9,5.03,GD,1697332110
212,taulaga,-11.0553,-171.0883,301.03,73,75,9.33,AS,1697332110
213,rikaze,29.25,88.8833,278.44,52,0,0.87,CN,1697331920
214,teploye,53.6202,37.5903,287.67,65,100,7.31,RU,1697332110
215,havre,49.5833,0.3333,285.02,66,75,5.66,FR,1697332110
216,banatski karlovac,45.0472,21.0161,291.01,59,0,2.31,RS,1697332110
217,sabang,5.8933,95.3214,300.45,78,100,4.91,ID,1697332111
218,utrik,11.2278,169.8474,301.39,76,13,5.12,MH,1697331816
219,gallup,35.5281,-108.7426,290.06,20,0,6.17,US,1697332111
220,ancud,-41.8697,-73.8203,281.25,81,100,1.82,CL,1697332111
221,weyburn,49.6668,-103.8511,280.78,52,17,3.64,CA,1697332111
222,port macquarie,-31.4333,152.9167,298.09,49,0,3.74,AU,1697332111
223,wuhai,39.6647,106.8122,287.9,27,0,1.4,CN,1697332112
224,praia da vitoria,38.7333,-27.0667,294.68,94,100,3.37,PT,1697332112
225,bucerias,20.75,-105.3333,302.14,79,100,1.03,MX,1697332112
226,carutapera,-1.195,-46.02,299.83,76,80,3.38,BR,1697332112
227,peniche,39.3558,-9.3811,291.64,95,100,1.13,PT,1697332112
228,garcia,25.8167,-100.5833,289.74,79,100,1.71,MX,1697332112
229,hithadhoo,-0.6,73.0833,300.39,75,38,3.7,MV,1697331818
230,tchollire,8.4022,14.1698,296.89,78,99,1.83,CM,1697332112
231,an nuhud,12.7,28.4333,302.22,42,100,1.5,SD,1697332113
232,sept-iles,50.2001,-66.3821,283.18,91,100,3.13,CA,1697332113
233,noumea,-22.2763,166.4572,302.14,99,33,3.1,NC,1697332113
234,bemidji,47.4736,-94.8803,282.07,81,100,1.54,US,1697332113
235,banda aceh,5.5577,95.3222,300.16,79,100,3.25,ID,1697331880
236,kuqa,41.7278,82.9364,287.76,38,4,1.44,CN,1697332113
237,anapa,44.8908,37.3239,285.92,81,0,4.0,RU,1697332113
238,tvoroyri,61.5556,-6.8111,278.57,57,100,10.49,FO,1697332114
239,gargalianoi,37.0667,21.6333,291.68,79,6,2.68,GR,1697332114
240,chengde,40.9725,117.9361,287.05,38,0,1.52,CN,1697332027
241,qeshm,26.9581,56.2719,302.13,74,0,2.91,IR,1697332114
242,tonj,7.2737,28.6822,294.88,93,29,1.54,SS,1697332114
243,isiro,2.7739,27.616,292.46,100,100,1.18,CD,1697332114
244,volchikha,52.0333,80.3833,280.36,68,100,4.02,RU,1697332114
245,roseburg north,43.2645,-123.3033,289.75,75,40,0.0,US,1697332114
246,mikhaylov,54.2292,39.0186,285.55,64,99,7.47,RU,1697332115
247,kilju,40.9642,129.3278,292.42,47,12,0.77,KP,1697332115
248,tobelo,1.7284,128.0095,301.89,75,99,1.95,ID,1697332115
249,vallenar,-28.5708,-70.7581,293.19,47,0,0.21,CL,1697332115
250,newman,37.3138,-121.0208,301.09,26,100,1.34,US,1697332115
251,doka,13.5167,35.7667,297.44,67,0,1.33,SD,1697332115
252,pasil,17.3833,121.1333,296.74,78,60,1.08,PH,1697332115
253,zhangjiajie,29.1294,110.4783,294.37,72,0,0.59,CN,1697332116
254,corner brook,48.9667,-57.9484,283.06,92,100,2.2,CA,1697332116
255,pallasovka,50.05,46.8833,281.98,89,5,3.41,RU,1697332116
256,rio grande,-32.035,-52.0986,289.79,72,100,8.18,BR,1697332015
257,daru,-9.0763,143.2092,300.18,78,71,5.43,PG,1697332116
258,panjab,34.388,67.0233,276.22,38,2,1.55,AF,1697332116
259,brisas de zicatela,15.8369,-97.0419,302.44,54,75,0.0,MX,1697332116
260,shalya,57.2471,58.7298,274.68,92,100,2.86,RU,1697332116
261,vangaindrano,-23.35,47.6,295.75,96,58,2.3,MG,1697332117
262,andovoranto,-18.95,49.1,296.69,94,100,3.52,MG,1697332117
263,gadzhiyevo,69.2551,33.3362,275.54,97,100,14.28,RU,1697332117
264,grand gaube,-20.0064,57.6608,293.36,70,66,5.47,MU,1697332117
265,fortuna,40.5982,-124.1573,290.66,87,20,3.6,US,1697332117
266,lerwick,60.1545,-1.1494,278.15,67,100,12.14,GB,1697332117
267,kiama,-34.6833,150.8667,295.07,53,10,3.24,AU,1697332117
268,nemuro,43.3236,145.575,288.86,66,8,2.73,JP,1697332117
269,new norfolk,-42.7826,147.0587,285.21,82,97,2.59,AU,1697332118
270,saint croix,17.7397,-64.7388,300.4,81,0,2.06,VI,1697332074
271,al mijlad,11.0333,27.7333,300.69,63,100,1.16,SD,1697332118
272,talnakh,69.4865,88.3972,274.38,88,98,2.45,RU,1697332118
273,berlin,52.5244,13.4105,282.53,77,0,6.26,DE,1697331660
274,genhe,50.7833,121.5167,275.68,40,0,5.42,CN,1697332118
